"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","24","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","16","16","1","6.304016","0","23"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","4","4","1","0.938640","0","7"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","76","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","12","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","0","53","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","52","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","115","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","962","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","36","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","0","4","1","0.000000","0","0"
"/Game/3D_Art/Characters/Sanara/Mesh/Scarf.Scarf","0","21","6","1","6.650557","0","53"
"/Game/3D_Art/Characters/Sanara/Mesh/Mouth.Mouth","0","21","7","1","6.946573","0","59"
"/Game/3D_Art/Characters/Sanara/Mesh/Head_low.Head_low","0","21","8","1","6.792196","0","60"
"/Game/3D_Art/Characters/Sanara/Mesh/Hair.Hair","0","21","9","1","7.050544","0","61"
"/Game/3D_Art/Characters/Sanara/Mesh/Eye_Brow_Lashes.Eye_Brow_Lashes","0","21","10","1","7.366504","0","62"
"/Game/3D_Art/Characters/Sanara/Mesh/eyeballs.eyeballs","0","21","1","1","7.366525","0","53"
"/Game/3D_Art/Characters/Sanara/Mesh/ElbowBand.ElbowBand","0","21","2","1","7.218470","0","54"
"/Game/3D_Art/Characters/Sanara/Mesh/ClothBack.ClothBack","0","26","9","1","8.842739","0","73"
"/Game/3D_Art/Characters/Sanara/Mesh/Cloth.Cloth","0","21","9","1","7.477462","0","61"
"/Game/3D_Art/Characters/Sanara/Mesh/Boots.Boots","0","21","10","1","7.496013","0","62"
"/Game/3D_Art/Characters/Sanara/Mesh/Body.Body","0","21","3","1","9.311228","0","55"
"/Game/3D_Art/Characters/Sanara/Mesh/Belt.Belt","0","21","10","1","10.824856","0","56"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","63","1","0.000000","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","0","2","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/Game/Materials/Sand_Material.Sand_Material","0","46","2","1","19.133198","21","292"
"/Game/3D_Art/Characters/Monster/Charge_01/lambert1.lambert1","0","21","10","1","8.168516","0","53"
"/Engine/VREditor/LaserPointer/M_LaserPointer-Outer.M_LaserPointer-Outer","0","0","20","1","0.000000","0","0"
"/Game/Materials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","34","10","1","9.356853","0","118"
"/Game/Materials/Blockout/Materials/M_BlockoutTools_Grid.M_BlockoutTools_Grid","0","63","9","1","23.850521","0","321"
"/Engine/VREditor/LaserPointer/M_LaserPointer-Core.M_LaserPointer-Core","0","0","16","1","0.000000","0","0"
"/Engine/EngineResources/M_StreamingPause.M_StreamingPause","0","0","8","1","0.000000","0","0"
"/Game/3D_Art/Characters/Monster/Ranged_01/Ranged_02.Ranged_02","0","21","10","1","7.831708","0","62"
"/Game/3D_Art/lambert1.lambert1","0","12","12","1","4.078013","0","22"
